id,title,wikipedia_url,birth_date,death_date,influenced_by,influenced,period_life,school_teaching
686913,"Арутюнян, Орик Пайлакович",https://ru.wikipedia.org/wiki/Арутюнян%2C_Орик_Пайлакович,6 января 1954(1954-01-06) (70 лет),,,,,
693354,"Столпнер, Борис Григорьевич",https://ru.wikipedia.org/wiki/Столпнер%2C_Борис_Григорьевич,декабрь 1871 или 1871[1],28 августа 1937(1937-08-28) или 1967[1],,,философия XX века,марксизм
693361,"Дебольский, Николай Григорьевич",https://ru.wikipedia.org/wiki/Дебольский%2C_Николай_Григорьевич,16 (28) ноября 1842,26 февраля 1918(1918-02-26) (75 лет),,,,
698623,"Розенцвейг, Франц",https://ru.wikipedia.org/wiki/Розенцвейг%2C_Франц,25 декабря 1886(1886-12-25),10 декабря 1929(1929-12-10) (42 года),Герман Коген,,Философия XX века,Диалогизм
698820,"Финк, Ойген",https://ru.wikipedia.org/wiki/Финк%2C_Ойген,11 декабря 1905(1905-12-11),25 июля 1975(1975-07-25) (69 лет),Эдмунд Гуссерль,Эрнст Нольте,,
700337,"Ананьин, Степан Андреевич",https://ru.wikipedia.org/wiki/Ананьин%2C_Степан_Андреевич,,,,,,
702292,"Есенин-Вольпин, Александр Сергеевич",https://ru.wikipedia.org/wiki/Есенин-Вольпин%2C_Александр_Сергеевич,,,,,,
705463,"Маркуш, Дьёрдь",https://ru.wikipedia.org/wiki/Маркуш%2C_Дьёрдь,13 апреля 1934(1934-04-13),5 октября 2016(2016-10-05) (82 года),Дьёрдь Лукач,,,Будапештская школа
710484,Акусилай,https://ru.wikipedia.org/wiki/Акусилай,,,,,,
711017,"Мармонтель, Жан-Франсуа",https://ru.wikipedia.org/wiki/Мармонтель%2C_Жан-Франсуа,11 июля 1723(1723-07-11)[1][2][…],31 декабря 1799(1799-12-31)[1][2][…] (76 лет),,,,
711145,"Лазарев, Владимир Васильевич",https://ru.wikipedia.org/wiki/Лазарев%2C_Владимир_Васильевич,7 февраля 1937(1937-02-07),20 февраля 2007(2007-02-20) (70 лет),,,Философия XX века,лингвистическая «школа Лазарева»
711222,"Тумаркин, Анна",https://ru.wikipedia.org/wiki/Тумаркин%2C_Анна,16 февраля 1875(1875-02-16)[1],7 августа 1951(1951-08-07)[2] (76 лет),,,,
717698,Махтумкули,https://ru.wikipedia.org/wiki/Махтумкули,1724(1724),1807 (82—83 года),,,,
721573,"Авенариус, Рихард",https://ru.wikipedia.org/wiki/Авенариус%2C_Рихард,19 ноября 1843(1843-11-19)[2][3][…],18 августа 1896(1896-08-18)[4][5][…] (52 года),,"Генрих Гомперц[6], Эрвин Шрёдингер[7]",,
722615,"Страхов, Николай Николаевич (философ)",https://ru.wikipedia.org/wiki/Страхов%2C_Николай_Николаевич_(философ),16 (28) октября 1828[1][2][…],24 января (5 февраля) 1896[2][3] (67 лет),,,Философия XIX века,Европейская философия
724728,"Рикёр, Поль",https://ru.wikipedia.org/wiki/Рикёр%2C_Поль,27 февраля 1913(1913-02-27),20 мая 2005(2005-05-20) (92 года),"Аристотель, И. Кант, Э. Гуссерль, К. Ясперс, М. Хайдеггер, Г. Г. Гадамер, Х. Арендт, Э. Левинас,",,Философия XX века,"герменевтика, феноменология"
726629,"Сорокин, Питирим Александрович",https://ru.wikipedia.org/wiki/Сорокин%2C_Питирим_Александрович,23 января (4 февраля) 1889[1],10 февраля 1968(1968-02-10)[2][3][…] (79 лет),,,,
726680,"Бентам, Иеремия",https://ru.wikipedia.org/wiki/Бентам%2C_Иеремия,15 февраля 1748(1748-02-15),6 июня 1832(1832-06-06) (84 года),,,Эпоха Просвещения,утилитаризм
728254,"Рубин, Арон Ильич",https://ru.wikipedia.org/wiki/Рубин%2C_Арон_Ильич,11 января 1888(1888-01-11),6 января 1961(1961-01-06) (72 года),,,,
729150,"Аксельрод, Любовь Исааковна",https://ru.wikipedia.org/wiki/Аксельрод%2C_Любовь_Исааковна,1868[1][2][…],5 февраля 1946(1946-02-05)[3],,,,
729399,"Кристева, Юлия",https://ru.wikipedia.org/wiki/Кристева%2C_Юлия,24 июня 1941(1941-06-24) (83 года),,"Р. Барт, М. М. Бахтин",,Философия XX века,Постструктурализм
733012,"Баумейстер, Фридрих Христиан",https://ru.wikipedia.org/wiki/Баумейстер%2C_Фридрих_Христиан,17 июля 1708(1708-07-17),8 октября 1785(1785-10-08) (77 лет),,,,
736702,"Шольц, Генрих",https://ru.wikipedia.org/wiki/Шольц%2C_Генрих,17 декабря 1884(1884-12-17)[1][2],30 декабря 1956(1956-12-30)[1][2] (72 года),"Уайтхед, Альфред Норт",,,
737548,"Грузенберг, Семён Осипович",https://ru.wikipedia.org/wiki/Грузенберг%2C_Семён_Осипович,27 февраля 1875(1875-02-27),1938(1938),,,,
744119,Ямвлих,https://ru.wikipedia.org/wiki/Ямвлих,245/280,325/330,"Платон, Порфирий, Плотин","Дексипп, Феодор Асинский, Эдесий, Юлиан Отступник, Прокл Диадох",Поздняя Античность,Сирийская школа неоплатонизма
744914,"Гоклениус, Рудольф",https://ru.wikipedia.org/wiki/Гоклениус%2C_Рудольф,1 марта 1547(1547-03-01),8 июня 1628(1628-06-08) (81 год),,,,
745195,Порфирий (философ),https://ru.wikipedia.org/wiki/Порфирий_(философ),232/233,304/306,Плотин,,Позднеантичная философия,неоплатонизм
